TypeCode,FreqCode,RefPeriodId,RefYear,RefMonth,Period,ReporterCode,ReporterISO,ReporterDesc,FlowCode,FlowDesc,PartnerCode,PartnerISO,PartnerDesc,Partner2Code,Partner2ISO,Partner2Desc,ClassificationCode,ClassificationSearchCode,IsOriginalClassification,CmdCode,CmdDesc,AggrLevel,IsLeaf,CustomsCode,CustomsDesc,MosCode,MotCode,MotDesc,QtyUnitCode,QtyUnitAbbr,Qty,IsQtyEstimated,AltQtyUnitCode,AltQtyUnitAbbr,AtlQty,IsAltQtyEstimated,NetWgt,IsNetWgtEstimated,GrossWgt,IsGrossWgtEstimated,Cifvalue,Fobvalue,PrimaryValue,LegacyEstimationFlag,IsReported,IsAggregate
C,A,19880101,1988,52,1988,246,FIN,Finland,M,Import,0,W00,World,0,W00,World,H0,HS,TRUE,2601,Iron ores and concentrates; including roasted iron pyrites,4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,2336576000,FALSE,-1,N/A,,TRUE,2336576000,FALSE,,FALSE,51848252,,51848252,0,FALSE,FALSE
C,A,19880101,1988,52,1988,246,FIN,Finland,M,Import,0,W00,World,0,W00,World,H0,HS,TRUE,2602,"Manganese ores and concentrates, including manganiferous iron ores and concentrates with a manganese content of 20% or more, calculated on the dry weight",4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1266000,FALSE,-1,N/A,,TRUE,1266000,FALSE,,FALSE,242951,,242951,0,FALSE,FALSE
C,A,19880101,1988,52,1988,246,FIN,Finland,X,Export,0,W00,World,0,W00,World,H0,HS,TRUE,2602,"Manganese ores and concentrates, including manganiferous iron ores and concentrates with a manganese content of 20% or more, calculated on the dry weight",4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1000,FALSE,-1,N/A,,TRUE,1000,FALSE,,FALSE,,305,305,0,FALSE,FALSE
C,A,19880101,1988,52,1988,246,FIN,Finland,M,Import,0,W00,World,0,W00,World,H0,HS,TRUE,2603,Copper ores and concentrates,4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,249107008,FALSE,-1,N/A,,TRUE,249107008,FALSE,,FALSE,143702896,,143702896,0,FALSE,FALSE
C,A,19880101,1988,52,1988,246,FIN,Finland,X,Export,0,W00,World,0,W00,World,H0,HS,TRUE,2603,Copper ores and concentrates,4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,5243000,FALSE,-1,N/A,,TRUE,5243000,FALSE,,FALSE,,3267424,3267424,0,FALSE,FALSE
C,A,19880101,1988,52,1988,246,FIN,Finland,M,Import,0,W00,World,0,W00,World,H0,HS,TRUE,2604,Nickel ores and concentrates,4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,7582000,FALSE,-1,N/A,,TRUE,7582000,FALSE,,FALSE,1713288,,1713288,0,FALSE,FALSE
C,A,19880101,1988,52,1988,246,FIN,Finland,X,Export,0,W00,World,0,W00,World,H0,HS,TRUE,2604,Nickel ores and concentrates,4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,6039000,FALSE,-1,N/A,,TRUE,6039000,FALSE,,FALSE,,100791,100791,0,FALSE,FALSE
C,A,19880101,1988,52,1988,246,FIN,Finland,X,Export,0,W00,World,0,W00,World,H0,HS,TRUE,2605,Cobalt ores and concentrates,4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,2000,FALSE,-1,N/A,,TRUE,2000,FALSE,,FALSE,,63919,63919,0,FALSE,FALSE
C,A,19880101,1988,52,1988,246,FIN,Finland,M,Import,0,W00,World,0,W00,World,H0,HS,TRUE,2606,Aluminium ores and concentrates,4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,2043000,FALSE,-1,N/A,,TRUE,2043000,FALSE,,FALSE,360948,,360948,0,FALSE,FALSE
C,A,19880101,1988,52,1988,246,FIN,Finland,X,Export,0,W00,World,0,W00,World,H0,HS,TRUE,2606,Aluminium ores and concentrates,4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,41000,FALSE,-1,N/A,,TRUE,41000,FALSE,,FALSE,,3068,3068,0,FALSE,FALSE
